code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-001	CJ1024	N/A — no P batch assigned	Cap Junky	INITIAL	initial release	03.03.2025	03.03.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-001_CJ1024_CJ_Cap_Junky_Initial.html
iCoA-PP_26-002	BSS1024	N/A — no P batch assigned	Blue Sunset Sherbet	INITIAL	initial release	04.03.2025	04.03.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-002_BSS1024_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-003	BG1024	N/A — no P batch assigned	Blue Gelato	INITIAL	initial release	07.03.2025	07.03.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-003_BG1024_BG_Blue_Gelato_Initial.html
iCoA-PP_26-004	GG1024	N/A — no P batch assigned	Gorilla Glue	INITIAL	initial release	11.03.2025	11.03.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-004_GG1024_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-005	HPA1024	N/A — no P batch assigned	High Pro Amnesia	INITIAL	initial release	11.04.2025	11.04.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-005_HPA1024_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-006	OPM1024	N/A — no P batch assigned	Orange Punch Mimosa	INITIAL	initial release	24.04.2025	24.04.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-006_OPM1024_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-007	OMP1024_01	P050042	Orange Punch Mimosa	RETEST	retest 1	07.05.2025	20.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-007_P050042_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-008	GP0824_02	P050022	Grape Pie	INITIAL	initial release	03.06.2025	03.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-008_P050022_GP_Grape_Pie_Initial.html
iCoA-PP_26-009	GG1024_02	P050012	Gorilla Glue	INITIAL	initial release	11.06.2025	11.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-009_P050012_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-010	MB0824_04	P050032	Motor Breath	INITIAL	initial release	16.06.2025	16.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-010_P050032_MB_Motor_Breath_Initial.html
iCoA-PP_26-011	HPA1024_01	P050052	High Pro Amnesia	INITIAL	initial release	27.06.2025	27.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-011_P050052_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-012	OPM1024_02	P050062	Orange Punch Mimosa	INITIAL	initial release	04.07.2025	04.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-012_P050062_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-013	GP0824_03	P050072	Grape Pie	INITIAL	initial release	14.07.2025	14.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-013_P050072_GP_Grape_Pie_Initial.html
iCoA-PP_26-014	OPM1024_03	P050082	Orange Punch Mimosa	INITIAL	initial release	22.07.2025	22.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-014_P050082_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-015	GG1024_01	P050092	Gorilla Glue	INITIAL	initial release	31.07.2025	31.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-015_P050092_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-016	GP0824_01	P050102	Grape Pie	INITIAL	initial release	05.08.2025	05.08.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-016_P050102_GP_Grape_Pie_Initial.html
iCoA-PP_26-017	MB0824_05	P050112	Motor Breath	INITIAL	initial release	25.08.2025	25.08.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-017_P050112_MB_Motor_Breath_Initial.html
iCoA-PP_26-018	OPM052501	P050132	Orange Punch Mimosa	INITIAL	initial release	09.09.2025	09.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-018_P050132_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-019	GP052501	P050152	Grape Pie	INITIAL	initial release	25.09.2025	25.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-019_P050152_GP_Grape_Pie_Initial.html
iCoA-PP_26-020	BSS1024_01/2	P050142	Blue Sunset Sherbet	INITIAL	initial release	30.09.2025	30.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-020_P050142_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-021	CJ052501/01	P050162	Cap Junky	INITIAL	initial release	30.09.2025	30.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-021_P050162_CJ_Cap_Junky_Initial.html
iCoA-PP_26-022	CJ052501/02	P050172	Cap Junky	INITIAL	initial release	01.10.2025	01.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-022_P050172_CJ_Cap_Junky_Initial.html
