#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
2	2024-08	CoQ-PP-2026-0002	GP0824_02	P050022	Grape Pie	GP_THC24:CBD1	R1 · May–Jul 2025	Conforms	iCoA-PP-2026-0004 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0004 (proposed), 13.08.2026, PP	Missing / not tested	—	23.19 ; 23.79	Grade II, 22.00 – 26.00 ; Grade II, 22.00 – 26.00	ППК25174, 10.07.2025, CNP ; ППК25139, 22.05.2025, CNP	0.07 ; 0.10	ППК25174, 10.07.2025, CNP ; ППК25139, 22.05.2025, CNP	—	—	Conforms	iCoA-PP-2026-0003 (proposed), 13.08.2026, PP	6.51 ; 7.21	ППК25174, 10.07.2025, CNP ; ППК25139, 22.05.2025, CNP	<10 ; 700	627/1128/25, 02.07.2025, IPH ; 471/0862/25, 22.05.2025, IPH	<10 ; <10	627/1128/25, 02.07.2025, IPH ; 471/0862/25, 22.05.2025, IPH	<10 ; <10¹ and >10	627/1128/25, 02.07.2025, IPH ; 471/0862/25, 22.05.2025, IPH	Одговара (absent) ; Одговара (absent)	627/1128/25, 02.07.2025, IPH ; 471/0862/25, 22.05.2025, IPH	Одговара (absent) ; Одговара (absent)	627/1128/25, 02.07.2025, IPH ; 471/0862/25, 22.05.2025, IPH	—	—	<2 ; <2	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH	—	—	N.D. ; N.D.	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH	N.D. ; N.D.	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH	0.047 ; N.D.	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH	N.D. ; N.D.	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH	ND / <LOQ (13 analytes) ; ND / <LOQ (13 analytes)	3176/2025, 26.06.2025, IPH ; 2471/2025, 30.05.2025, IPH
							R2 · Aug 2026	—	—	—	—			22.61	Grade II, 22.00 – 26.00	197-11-К/26, 07.08.2026, FARM	<LOQ %w/w	197-11-К/26, 07.08.2026, FARM	0.23	197-11-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-11-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-11-М/26, 10.08.2026, FARM ; 197-11-М/26, 10.08.2026, FARM ; 197-11-М/26, 10.08.2026, FARM ; 197-11-М/26, 10.08.2026, FARM	ND	197-11-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
6	2024-10	CoQ-PP-2026-0006	BG1024	—	Blue Gelato	BG_THC23:CBD1 / BG_THC27.5:CBD1	R1 · Feb 2025	Conforms	iCoA-PP-2026-0012 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0012 (proposed), 13.08.2026, PP	Missing / not tested	—	21.80	Grade II, 20.80 – 25.25	ППК25050, 26.02.2025, CNP	0.04	ППК25050, 26.02.2025, CNP	—	—	Conforms	iCoA-PP-2026-0011 (proposed), 13.08.2026, PP	5.73	ППК25050, 26.02.2025, CNP	1.6×10⁴	163/0271/25, 24.02.2025, IPH	1×10³	163/0271/25, 24.02.2025, IPH	<10² and >10	163/0271/25, 24.02.2025, IPH	Одговара (absent)	163/0271/25, 24.02.2025, IPH	Одговара (absent)	163/0271/25, 24.02.2025, IPH	—	—	<2	752/2025, 27.02.2025, IPH	—	—	0.01	752/2025, 27.02.2025, IPH	0.016	752/2025, 27.02.2025, IPH	0.014	752/2025, 27.02.2025, IPH	0.005	752/2025, 27.02.2025, IPH	ND / <LOQ (13 analytes)	752/2025, 27.02.2025, IPH
							R2 · Aug 2026	—	—	—	—			26.14	Grade I, 25.25 – 30.00	197-1-К/26, 07.08.2026, FARM	<LOQ %w/w	197-1-К/26, 07.08.2026, FARM	0.28	197-1-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-1-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-1-М/26, 10.08.2026, FARM ; 197-1-М/26, 10.08.2026, FARM ; 197-1-М/26, 10.08.2026, FARM ; 197-1-М/26, 10.08.2026, FARM	ND	197-1-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
7	2024-10	CoQ-PP-2026-0007	BSS1024	—	Blue Sunset Sherbet	BSS_THC22:CBD1 / BSS_THC27.5:CBD1	R1 · Feb 2025	Conforms	iCoA-PP-2026-0014 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0014 (proposed), 13.08.2026, PP	Missing / not tested	—	21.03	Grade II, 19.39 – 24.75	ППК25051, 26.02.2025, CNP	0.04	ППК25051, 26.02.2025, CNP	—	—	Conforms	iCoA-PP-2026-0013 (proposed), 13.08.2026, PP	5.99	ППК25051, 26.02.2025, CNP	1.5×10⁴	161/0269/25, 24.02.2025, IPH	2.2×10³	161/0269/25, 24.02.2025, IPH	<10² and >10	161/0269/25, 24.02.2025, IPH	Одговара (absent)	161/0269/25, 24.02.2025, IPH	Одговара (absent)	161/0269/25, 24.02.2025, IPH	—	—	<2	751/2025, 27.02.2025, IPH	—	—	0.071	751/2025, 27.02.2025, IPH	0.014	751/2025, 27.02.2025, IPH	0.081	751/2025, 27.02.2025, IPH	0.014	751/2025, 27.02.2025, IPH	ND / <LOQ (13 analytes)	751/2025, 27.02.2025, IPH
							R2 · Aug 2026	—	—	—	—			25.01	Grade I, 24.75 – 30.00	197-2-К/26, 07.08.2026, FARM	<LOQ %w/w	197-2-К/26, 07.08.2026, FARM	<LOQ %w/w	197-2-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-2-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-2-М/26, 10.08.2026, FARM ; 197-2-М/26, 10.08.2026, FARM ; 197-2-М/26, 10.08.2026, FARM ; 197-2-М/26, 10.08.2026, FARM	ND	197-2-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
11	2024-10	CoQ-PP-2026-0011	GG1024_01	P050092	Gorilla Glue	GG_THC15:CBD1 / GG_THC21:CBD1	R1 · Apr 2025	Conforms	iCoA-PP-2026-0021 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0021 (proposed), 13.08.2026, PP	Missing / not tested	—	17.22	Grade III, 12.34 – 18.00	ППК25104, 17.04.2025, CNP	0.05	ППК25104, 17.04.2025, CNP	—	—	Conforms	iCoA-PP-2026-0020 (proposed), 13.08.2026, PP	7.54	ППК25104, 17.04.2025, CNP	5.1×10⁴	320/0587/25, 14.04.2025, IPH	4.2×10³	320/0587/25, 14.04.2025, IPH	<10	320/0587/25, 14.04.2025, IPH	Одговара (absent)	320/0587/25, 14.04.2025, IPH	Одговара (absent)	320/0587/25, 14.04.2025, IPH	—	—	<2	1766/2025, 11.04.2025, IPH	—	—	0.02	1766/2025, 11.04.2025, IPH	0.007	1766/2025, 11.04.2025, IPH	0.015	1766/2025, 11.04.2025, IPH	0.005	1766/2025, 11.04.2025, IPH	ND / <LOQ (13 analytes)	1766/2025, 11.04.2025, IPH
							R2 · Aug 2026	—	—	—	—			18.67	Grade II, 18.00 – 24.00	197-9-К/26, 07.08.2026, FARM	<LOQ %w/w	197-9-К/26, 07.08.2026, FARM	0.20	197-9-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-9-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM	ND	197-9-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
13	2024-10	CoQ-PP-2026-0013	HPA1024	—	High Pro Amnesia	HPA_THC16:CBD1	R1 · Jan 2025	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, PP	Conforms	iCoA-PP-2026-0024 (proposed), 13.08.2026, PP	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	14.97	Grade III, 13.50 – 19.39	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.04	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, PP	Missing / not tested	—	5.2·10^4	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	7·10^2	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	<10 CFU/g [DATA INTEGRITY FLAG — see source]	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	<2	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	0.02	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.013	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.017	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.0026	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	ND / <LOQ (13 analytes)	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP
							R2 · Aug 2026	—	—	—	—	—	—	17.31	Grade III, 13.50 – 19.39	197-13-К/26, 07.08.2026, FARM	<LOQ %w/w	197-13-К/26, 07.08.2026, FARM	0.36	197-13-К/26, 07.08.2026, FARM	—	—			—	—	—	—	—	—	—	—	—	—	ND	197-13-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM	<LOQ	197-13-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
